"egris_egrid"
CH107006353219
CH107006463283
CH107006603241
CH107006673220
CH107006693214
CH107106003297
CH107106073276
CH107106123261
CH107106133258
CH107106143255
CH107106153252
CH107106173246
CH107106183243
CH107106203237
CH107106253222
CH107106263219
CH107106293210
CH107106353289
CH107106373283
CH107106383280
CH107106393277
CH107106473253
CH107106543232
CH107106563226
CH107106573223
CH107106653296
CH107106663293
CH107106693284
CH107106763263
CH107106803251
CH107106853236
CH107106863233
CH107106873230
CH107106883227
CH107106923215
CH107106943209
CH107106973297
CH107106983294
CH107106993291
CH107206003270
CH107206063252
CH107206073249
CH107206183216
CH107206193213
CH107206263289
CH107206323271
CH107206393250
CH107206413244
CH107206453232
CH107206463229
CH107206483223
CH107206593287
CH107206703254
CH107206723248
CH107206733245
CH107206783230
CH107206793227
CH107206803224
CH107206853209
CH107206903291
CH107206973270
CH107206983267
CH107306053228
CH107306063225
CH107306083219
CH107306113210
CH107306123207
CH107306153295
CH107306183286
CH107306193283
CH107306213277
CH107306223274
CH107306283256
CH107306303250
CH107306323244
CH107306333241
CH107306353235
CH107306443208
CH107306483293
CH107306533278
CH107306573266
CH107306583263
CH107306673236
CH107306683233
CH107306693230
CH107306723221
CH107306733218
CH107306753212
CH107306763209
CH107306803294
CH107306843282
CH107306873273
CH107306883270
CH107306903264
CH107306923258
CH107306933255
CH107306953249
CH107306973243
CH107306993237
CH107406033207
CH107406043204
CH107406073292
CH107406083289
CH107406123277
CH107406133274
CH107406143271
CH107406153268
CH107406243241
CH107406263235
CH107406273232
CH107406283229
CH107406293226
CH107406303223
CH107406323217
CH107406333214
CH107406363205
CH107406433281
CH107406493263
CH107406513257
CH107406523254
CH107406583236
CH107406593233
CH107406643218
CH107406693203
CH107406723291
CH107406753282
CH107406813264
CH107406913234
CH107506013283
CH107506033277
CH107506053271
CH107506093259
CH107506143244
CH107506163238
CH107506173235
CH107506193229
CH107506293296
CH107506343281
CH107506473242
CH107506513230
CH107506553218
CH107506563215
CH107506603203
CH107506643288
CH107506663282
CH107506693273
CH107506713267
CH107506733261
CH107506743258
CH107506753255
CH107506763252
CH107506773249
CH107506803240
CH107506813237
CH107506823234
CH107506833231
CH107506863222
CH107506883216
CH107506913207
CH107506923204
CH107506953292
CH107506963289
CH107506973286
CH107606023253
CH107606033250
CH107606123223
CH107606143217
CH107606173208
CH107606213293
CH107606263278
CH107606293269
CH107606363248
CH107606373245
CH107606393239
CH107606403236
CH107606463218
CH107606483212
CH107606493209
CH107606523297
CH107606543291
CH107606583279
CH107606743231
CH107606813210
CH107606833204
CH107606873289
CH107606883286
CH107606903280
CH107606923274
CH107606973259
CH107606983256
CH107706033223
CH107706063214
CH107706173278
CH107706253254
CH107706313236
CH107706333230
CH107706403209
CH107706523270
CH107706623240
CH107706673225
CH107706703216
CH107706713213
CH107706773292
CH107706913250
CH107706953238
CH107706993226
CH107712703061
CH107712713058
CH107712773040
CH107757721058
CH107757791037
CH107758776477
CH107806063284
CH107806093275
CH107806123266
CH107806333203
CH107806363291
CH107806413276
CH107806423273
CH107806433270
CH107806473258
CH107806583225
CH107806823250
CH107806873235
CH107906163227
CH107906173224
CH107906303282
CH107906343270
CH107906383258
CH107906413249
CH107906443240
CH107906523216
CH107906593292
CH107906903296
CH107906993269
CH108006003248
CH108006083224
CH108006103218
CH108006153203
CH108006203285
CH108006213282
CH108006223279
CH108006243273
CH108006263267
CH108006273264
CH108006293258
CH108006303255
CH108006313252
CH108006323249
CH108006343243
CH108006353240
CH108006373234
CH108006393228
CH108006413222
CH108006423219
CH108006473204
CH108006483201
CH108006503292
CH108006533283
CH108006563274
CH108006603262
CH108006613259
CH108006653247
CH108006663244
CH108006683238
CH108006793205
CH108006923263
CH108006983245
CH108106043209
CH108106093291
CH108106163270
CH108106183264
CH108106193261
CH108106453280
CH108106463277
CH108106483271
CH108106523259
CH108106573244
CH108106613232
CH108106623229
CH108106633226
CH108106693208
CH108106743290
CH108106753287
CH108106773281
CH108106783278
CH108106793275
CH108106913239
CH108106933233
CH108106983218
CH108206003291
CH108206053276
CH108206063273
CH108206083267
CH108206123255
CH108206203231
CH108206233222
CH108206243219
CH108206263213
CH108206303201
CH108206333289
CH108206393271
CH108206443256
CH108206493241
CH108206503238
CH108206533229
CH108206543226
CH108206553223
CH108206563220
CH108206573217
CH108206583214
CH108206613205
CH108206663287
CH108206683281
CH108206693278
CH108206723269
CH108206733266
CH108206743263
CH108206803245
CH108206853230
CH108206873224
CH108206883221
CH108206893218
CH108206903215
CH108206933206
CH108306033255
CH108306113231
CH108306123228
CH108306133225
CH108306163216
CH108306263283
CH108306303271
CH108306353256
CH108306363253
CH108306373250
CH108306393244
CH108306413238
CH108306433232
CH108306453226
CH108306463223
CH108306473220
CH108306513208
CH108306523205
CH108306543296
CH108306553293
CH108306603278
CH108306623272
CH108306633269
CH108306693251
CH108306703248
CH108306713245
CH108306723242
CH108306733239
CH108306743236
CH108306763230
CH108306803218
CH108306833209
CH108306863297
CH108306903285
CH108306993258
CH108406043225
CH108406093210
CH108406123201
CH108406173283
CH108406213271
CH108406233265
CH108406263256
CH108406273253
CH108406303244
CH108406333235
CH108406353229
CH108406363226
CH108406373223
CH108406453296
CH108406493284
CH108406503281
CH108406523275
CH108406533272
CH108406583257
